PERMNO,date,DIVAMT,RETX
10104,2021-03-11,,-0.065308
10104,2021-03-12,,-0.003709
10104,2021-03-15,,0.008487
10104,2021-03-16,,-0.012993
10104,2021-03-17,,-0.009424
10104,2021-03-18,,0.007853
10104,2021-03-19,,-0.007192
10104,2021-03-22,,0.000905
10104,2021-03-23,,0.014324
10104,2021-03-24,,-0.006541
10104,2021-03-25,,0.026934
10104,2021-03-26,,0.023605
10104,2021-03-29,,0.012527
10104,2021-03-30,,-0.008154
10104,2021-03-31,,-0.005386
10104,2021-04-01,,0.023372
10104,2021-04-05,,0.032725
10104,2021-04-06,,0.001618
10104,2021-04-07,0.32000,-0.002827
10104,2021-04-08,,0.016336
10104,2021-04-09,,0.003985
10104,2021-04-12,,0.007145
10104,2021-04-13,,0.007225
10104,2021-04-14,,0.001956
10104,2021-04-15,,0.019136
10104,2021-04-16,,0.008430
10104,2021-04-19,,-0.002533
10104,2021-04-20,,0.006222
10104,2021-04-21,,-0.032559
10104,2021-04-22,,-0.023350
10104,2021-04-23,,0.001336
10104,2021-04-26,,-0.006269
10104,2021-04-27,,0.009664
10104,2021-04-28,,-0.005983
10104,2021-04-29,,0.014712
10104,2021-04-30,,-0.001054
10104,2021-05-03,,0.020319
10104,2021-05-04,,0.015518
10104,2021-05-05,,0.008404
10104,2021-05-06,,0.006945
10104,2021-05-07,,0.008277
10104,2021-05-10,,-0.003109
10104,2021-05-11,,-0.030692
10104,2021-05-12,,-0.012099
10104,2021-05-13,,0.018111
10104,2021-05-14,,0.009598
10104,2021-05-17,,0.002408
10104,2021-05-18,,-0.004932
10104,2021-05-19,,0.000635
10104,2021-05-20,,-0.000254
10104,2021-05-21,,0.003938
10104,2021-05-24,,0.004429
10104,2021-05-25,,-0.006929
10104,2021-05-26,,0.005455
10104,2021-05-27,,-0.003533
10104,2021-05-28,,-0.003039
10104,2021-06-01,,0.010541
10104,2021-06-02,,0.008797
10104,2021-06-03,,0.010216
10104,2021-06-04,,0.022198
10104,2021-06-07,,0.012667
10104,2021-06-08,,0.007982
10104,2021-06-09,,-0.001064
10104,2021-06-10,,-0.026266
10104,2021-06-11,,0.007290
10104,2021-06-14,,-0.003378
10104,2021-06-15,,-0.011862
10104,2021-06-16,,-0.055855
10104,2021-06-17,,0.006227
10104,2021-06-18,,-0.017148
10104,2021-06-21,,0.023088
10104,2021-06-22,,0.008847
10104,2021-06-23,,-0.007372
10104,2021-06-24,,-0.004609
10104,2021-06-25,,0.009262
10104,2021-06-28,,0.000510
10104,2021-06-29,,-0.005096
10104,2021-06-30,,-0.003329
10104,2021-07-01,,0.021840
10104,2021-07-02,,0.028665
10104,2021-07-06,,0.015400
10104,2021-07-07,,0.036230
10104,2021-07-08,,-0.005808
10104,2021-07-09,,0.025353
10104,2021-07-12,,-0.007748
10104,2021-07-13,,-0.000115
10104,2021-07-14,0.32000,0.013897
10104,2021-07-15,,-0.023108
10104,2021-07-16,,0.014494
10104,2021-07-19,,-0.005829
10104,2021-07-20,,0.019315
10104,2021-07-21,,0.011617
10104,2021-07-22,,0.011150
10104,2021-07-23,,-0.033080
10104,2021-07-26,,0.001939
