Date,	TB3MS,	SP500,	Dividend,	Earnings,	Risk-free
01/04/58	,1.13	,42.34	    ,1.76	,3.07	,1.000936825
01/05/58	,0.91	,43.70	    ,1.74	,3.00	,1.000755189
01/06/58	,0.83	,44.75	    ,1.73	,2.93	,1.000689049
01/07/58	,0.91	,45.98	    ,1.73	,2.91	,1.000755189
01/08/58	,1.69	,47.70	    ,1.73	,2.90	,1.001397541
01/09/58	,2.44	,48.96	    ,1.73	,2.88	,1.002010942
01/10/58	,2.63	,50.95	    ,1.74	,2.88	,1.002165684
01/11/58	,2.67	,52.50	    ,1.74	,2.89	,1.002198227
01/12/58	,2.77	,53.49	    ,1.75	,2.89	,1.002279536
01/01/59	,2.82	,55.62	    ,1.76	,2.96	,1.002320162
01/02/59	,2.7	,54.77	    ,1.76	,3.04	,1.002222627
01/03/59	,2.8	,56.16	    ,1.77	,3.11	,1.002303914
01/04/59	,2.95	,57.10	    ,1.78	,3.21	,1.002425708
01/05/59	,2.84	,57.96	    ,1.78	,3.30	,1.002336408
01/06/59	,3.21	,57.46	    ,1.79	,3.40	,1.002636433
01/07/59	,3.2	,59.74	    ,1.80	,3.41	,1.002628337
01/08/59	,3.38	,59.40	    ,1.80	,3.42	,1.002773951
01/09/59	,4.04	,57.05	    ,1.81	,3.43	,1.00330589
01/10/59	,4.05	,57.00	    ,1.82	,3.42	,1.003313926
01/11/59	,4.15	,57.23	    ,1.82	,3.40	,1.003394246
01/12/59	,4.49	,59.06	    ,1.83	,3.39	,1.003666805
01/01/60	,4.35	,58.03	    ,1.87	,3.39	,1.003554674
01/02/60	,3.96	,55.78	    ,1.90	,3.39	,1.003241578
01/03/60	,3.31	,55.02	    ,1.94	,3.39	,1.002717351
01/04/60	,3.23	,55.73	    ,1.94	,3.35	,1.002652622
01/05/60	,3.29	,55.22	    ,1.95	,3.30	,1.002701173
01/06/60	,2.46	,57.26	    ,1.95	,3.26	,1.002027243
01/07/60	,2.3	,55.84	    ,1.95	,3.26	,1.001896754
01/08/60	,2.3	,56.51	    ,1.95	,3.27	,1.001896754
01/09/60	,2.48	,54.81	    ,1.95	,3.27	,1.002043541
01/10/60	,2.3	,53.73	    ,1.95	,3.27	,1.001896754
01/11/60	,2.37	,55.47	    ,1.95	,3.27	,1.001953866
01/12/60	,2.25	,56.80	    ,1.95	,3.27	,1.001855938
01/01/61	,2.24	,59.72	    ,1.95	,3.21	,1.001847772
01/02/61	,2.42	,62.17	    ,1.94	,3.15	,1.001994638
01/03/61	,2.39	,64.12	    ,1.94	,3.09	,1.001970177
01/04/61	,2.29	,65.83	    ,1.94	,3.07	,1.001888592
01/05/61	,2.29	,66.50	    ,1.94	,3.05	,1.001888592
01/06/61	,2.33	,65.62	    ,1.94	,3.03	,1.001921235
01/07/61	,2.24	,65.44	    ,1.95	,3.04	,1.001847772
01/08/61	,2.39	,67.79	    ,1.95	,3.04	,1.001970177
01/09/61	,2.28	,67.26	    ,1.96	,3.05	,1.001880429
01/10/61	,2.3	,68.00	    ,1.98	,3.10	,1.001896754
01/11/61	,2.48	,71.08	    ,2.00	,3.14	,1.002043541
01/12/61	,2.6	,71.74	    ,2.02	,3.19	,1.002141268
01/01/62	,2.72	,69.07	    ,2.03	,3.25	,1.00223889
01/02/62	,2.73	,70.22	    ,2.03	,3.31	,1.002247021
01/03/62	,2.72	,70.29	    ,2.04	,3.37	,1.00223889
01/04/62	,2.73	,68.05	    ,2.05	,3.40	,1.002247021
01/05/62	,2.69	,62.99	    ,2.05	,3.44	,1.002214495
01/06/62	,2.73	,55.63	    ,2.06	,3.47	,1.002247021
01/07/62	,2.92	,56.97	    ,2.07	,3.49	,1.002401362
01/08/62	,2.82	,58.52	    ,2.07	,3.51	,1.002320162
01/09/62	,2.78	,58.00	    ,2.08	,3.53	,1.002287662
01/10/62	,2.74	,56.17	    ,2.10	,3.58	,1.002255151
01/11/62	,2.83	,60.04	    ,2.11	,3.62	,1.002328286
01/12/62	,2.87	,62.64	    ,2.13	,3.67	,1.002360771
01/01/63	,2.91	,65.06	    ,2.14	,3.68	,1.002393245
01/02/63	,2.92	,65.92	    ,2.14	,3.70	,1.002401362
01/03/63	,2.89	,65.67	    ,2.15	,3.71	,1.00237701
01/04/63	,2.9	,68.76	    ,2.17	,3.75	,1.002385128
01/05/63	,2.93	,70.14	    ,2.18	,3.80	,1.002409478
01/06/63	,2.99	,70.11	    ,2.20	,3.84	,1.002458159
01/07/63	,3.18	,69.07	    ,2.20	,3.88	,1.002612143
01/08/63	,3.32	,70.98	    ,2.21	,3.92	,1.002725439
01/09/63	,3.38	,72.85	    ,2.21	,3.96	,1.002773951
01/10/63	,3.45	,73.03	    ,2.23	,3.98	,1.002830517
01/11/63	,3.52	,72.62	    ,2.26	,4.00	,1.002887047
01/12/63	,3.52	,74.17	    ,2.28	,4.02	,1.002887047
01/01/64	,3.52	,76.45	    ,2.30	,4.07	,1.002887047
01/02/64	,3.53	,77.39	    ,2.31	,4.13	,1.002895119
01/03/64	,3.54	,78.80	    ,2.33	,4.18	,1.002903192
01/04/64	,3.47	,79.94	    ,2.35	,4.23	,1.002846672
01/05/64	,3.48	,80.72	    ,2.36	,4.28	,1.002854748
01/06/64	,3.48	,80.24	    ,2.38	,4.33	,1.002854748
01/07/64	,3.46	,83.22	    ,2.40	,4.38	,1.002838594
01/08/64	,3.5	,82.00	    ,2.42	,4.42	,1.002870899
01/09/64	,3.53	,83.41	    ,2.44	,4.47	,1.002895119
01/10/64	,3.57	,84.85	    ,2.46	,4.50	,1.002927404
01/11/64	,3.64	,85.44	    ,2.48	,4.52	,1.002983874
01/12/64	,3.84	,83.96	    ,2.50	,4.55	,1.003145024
01/01/65	,3.81	,86.12	    ,2.52	,4.59	,1.00312087
01/02/65	,3.93	,86.75	    ,2.53	,4.64	,1.003217449
01/03/65	,3.93	,86.83	    ,2.55	,4.68	,1.003217449
01/04/65	,3.93	,87.97	    ,2.57	,4.73	,1.003217449
01/05/65	,3.89	,89.28	    ,2.59	,4.79	,1.003185267
01/06/65	,3.8	,85.04	    ,2.61	,4.84	,1.003112817
01/07/65	,3.84	,84.91	    ,2.63	,4.89	,1.003145024
01/08/65	,3.84	,86.49	    ,2.64	,4.93	,1.003145024
01/09/65	,3.92	,89.38	    ,2.66	,4.98	,1.003209405
01/10/65	,4.03	,91.39	    ,2.68	,5.05	,1.003297854
01/11/65	,4.09	,92.15	    ,2.70	,5.12	,1.003346063
01/12/65	,4.38	,91.73	    ,2.72	,5.19	,1.003578713
01/01/66	,4.59	,93.32	    ,2.74	,5.24	,1.003746815
01/02/66	,4.65	,92.69	    ,2.76	,5.29	,1.003794787
01/03/66	,4.59	,88.88	    ,2.78	,5.34	,1.003746815
01/04/66	,4.62	,91.60	    ,2.80	,5.38	,1.003770804
01/05/66	,4.64	,86.78	    ,2.81	,5.42	,1.003786794
01/06/66	,4.5	,86.06	    ,2.83	,5.46	,1.003674809
01/07/66	,4.8	,85.84	    ,2.85	,5.48	,1.003914608
01/08/66	,4.96	,80.65	    ,2.87	,5.49	,1.004042243
01/09/66	,5.37	,77.81	    ,2.89	,5.51	,1.004368496
